BookID,Name,Author,Category,Cover,Review,Price,UnitsInStock,UnitsOnOrder,Virtual,Owner
1,Ngày xưa có một con bò,,,,,,1,0,,Huỳnh Lợi
2,Khoảng cách từ nói đến làm,,,,,,1,0,,Huỳnh Lợi
3,Phát huy giá trị,Dale Carnergie,,,,,1,0,,Huỳnh Lợi
4,Khi hơi thở hóa thinh không,,,,,,1,0,,Huỳnh Lợi
5,Tôi và Paris - Câu chuyện một dòng sông,,,,,,1,0,,Huỳnh Lợi
6,Tìm đường tuổi 20,,,,,,1,0,,Huỳnh Lợi
7,Sống như ngày mai bạn sẽ chết,,,,,,1,0,,Huỳnh Lợi
8,Code dạo kí sự,Phạm Huy Hoàng,,,,,1,0,,Huỳnh Lợi
9,Chiến thắng con quỷ trong bạn,,,,,,1,0,,Huỳnh Lợi
10,Làm chủ tuổi 20,Dương Duy Bách,,,,,1,0,,Huỳnh Lợi
11,Từ ghế nhà trường đến giảng đường đại học,,,,,,1,0,,Huỳnh Lợi
12,Đúng việc,Giản Tư Trung,,,,,1,0,,Huỳnh Lợi
13,Nhà giả kim,,,,,,1,0,,Huỳnh Lợi
14,Hành trình đi tìm chân ngã,,,,,,1,0,,Huỳnh Lợi
15,Người đua diều,Khaled Hosseini,Tiểu thuyết,,,,1,0,,Kim Phượng
16,Ngàn mặt trời rực rỡ,Khaled Hosseini,Tiểu thuyết,,,,1,0,,Kim Phượng
17,Và rồi núi vọng,Khaled Hosseini,Tiểu thuyết,,,,1,0,,Kim Phượng
18,Harry Potter và Hoàng tử lai - Tập 6,J.K Rowling,Tiểu thuyết,,,,1,0,,Kim Phượng
19,Bob chú mèo đường phố,James Bowen,Tiểu thuyết,,,,1,0,,Kim Phượng
20,Kẻ trộm sách,Markus Zusak,Tiểu thuyết,,,,1,0,,Kim Phượng
21,Người trộm bóng,Marc Levy,Tiểu thuyết,,,,1,0,,Kim Phượng
22,Giết con chim nhại,Harper Lee,Tiểu thuyết,,,,1,0,,Kim Phượng
23,Bắt trẻ đồng xanh,J. D. Salinger,Tiểu thuyết,,,,1,0,,Kim Phượng
